Sepal width,Petal width,Tipo de planta,,,,
3.5,0.2,Iris-setosa,,,,
3.0,0.2,Iris-setosa,,,,
3.2,0.2,Iris-setosa,,,,
3.2,0.2,Iris-setosa,,,,
3.6,0.2,Iris-setosa,,,,
3.2,1.4,Iris-versicolor,,,,
3.2,1.5,Iris-versicolor,,,,
3.1,1.5,Iris-versicolor,,,,
2.3,1.3,Iris-versicolor,,,,
2.8,1.5,Iris-versicolor,,,,
3.3,2.5,Iris-virginica,,,,
2.7,1.9,Iris-virginica,,,,
3.0,2.1,Iris-virginica,,,,
2.9,1.8,Iris-virginica,,,,
3.0,2.2,Iris-virginica,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,